query,date,source,stable_identifier,model,theorem_or_claim,exact_relevance,follow_up_action,verification_status
"MMV public code and supplement",2026-07-25,"EJGTA article page and arXiv:2110.09732 source package","doi:10.5614/ejgta.2022.10.2.19; arXiv:2110.09732v2","one-guard","The arXiv package contains only EternalDomination.tex and one image; the journal page exposes the article PDF. No code repository, case manifest, raw output, or proof logs were located in this checkpoint.","The paper's Graph6 appendix is available, but its exhaustive enumeration is not accompanied by modern machine-checkable negative certificates.","Refresh author/repository and journal-supplement searches weekly; no outreach.","VERIFIED for inspected packages/pages; absence is search-limited"
"perfect graphs",2026-07-25,"Burger et al., Infinite Order Domination in Graphs, JCMCC 50 (2004), 179-194","JCMCC 50 (2004), 179-194","one-guard result as cited in later primary sources","For every perfect graph G, alpha(G)=gamma-infinity(G)=theta(G).","Stronger than Gamma-Theta on this class.","Obtain the original paper text for archival completeness; theorem is consistently restated in 2015, 2016, 2022, and 2024 sources.","CITATION-CROSSCHECKED; ORIGINAL NOT LOCALLY INSPECTED"
"circular-arc graphs",2026-07-25,"F. Regan, Dynamic Variants of Domination and Independence in Graphs, graduate thesis, Bonn (2007)","Bonn graduate thesis, 2007","one-guard as cited in the 2015/2016 sources","Every circular-arc graph is maximum-demand: gamma-infinity=theta.","Stronger than Gamma-Theta on this class.","Obtain thesis and verify whether disconnected graphs or representation assumptions require qualification.","CITATION-CROSSCHECKED; ORIGINAL NOT LOCALLY INSPECTED"
"series-parallel and outerplanar graphs",2026-07-25,"Anderson, Barrientos, Brigham, Carrington, Vitray, and Yellen, Maximum-Demand Graphs for Eternal Security, JCMCC 61 (2007), 111-128","JCMCC 61 (2007), 111-128","one-guard","Every K4-minor-free graph is maximum-demand: gamma-infinity=theta. This covers the standard K4-minor-free meaning of series-parallel graphs and, in particular, outerplanar graphs.","Stronger than Gamma-Theta; a counterexample must have a K4 minor and cannot be outerplanar/series-parallel.","Quote the K4-minor-free statement rather than relying on potentially varying definitions of series-parallel.","CITATION-CROSSCHECKED in 2016 and 2024 sources; ORIGINAL NOT LOCALLY INSPECTED"
"subcubic graphs",2026-07-25,"Klostermeyer and Mynhardt 2015, Theorem 6.3","doi:10.7151/dmgt.1799; arXiv:1407.5235","one-guard","If Delta(G)<=3 and gamma(G)=gamma-infinity(G), then gamma-infinity(G)=theta(G). Isolated vertices are disposed of without loss in the proof.","A counterexample must have maximum degree at least 4.","Safe as a structural filter.","VERIFIED-PRIMARY; local arXiv source"
"C3-free graphs",2026-07-25,"Klostermeyer and Mynhardt 2015, Theorem 6.6","doi:10.7151/dmgt.1799; arXiv:1407.5235","one-guard","If G is triangle-free and gamma(G)=gamma-infinity(G), then gamma-infinity(G)=theta(G).","A counterexample must contain a triangle; C3-free means no triangle.","Safe as a structural filter.","VERIFIED-PRIMARY; local arXiv source"
"C4-free graphs",2026-07-25,"Klostermeyer, Krop, and MacGillivray, On Graphs with Domination Number Equal to Eternal Domination Number, manuscript (2018), as cited by Taletskii","unpublished manuscript citation KKM18 in arXiv:2412.20120v2","apparently one-guard","Taletskii states that the Gamma-Theta Conjecture holds for C4-free graphs. In Taletskii's terminology H-free means no H as a subgraph, not merely no induced H.","Would imply that a counterexample contains a 4-cycle.","Do not use as a hard exhaustive-search filter until the manuscript/proof is obtained and audited.","SECONDARY PRIMARY-SOURCE STATEMENT; UNDERLYING MANUSCRIPT UNAVAILABLE"
"planar graphs",2026-07-25,"D. Taletskii, The Gamma-Theta Conjecture Holds for Planar Graphs","arXiv:2412.20120v2","one-guard explicitly distinguished from all-guards","For every planar graph G, gamma(G)=gamma-infinity(G) implies gamma-infinity(G)=theta(G).","A counterexample must be nonplanar if the preprint proof survives audit.","Adversarially audit the long 21-lemma proof and monitor publication status.","VERIFIED STATEMENT IN PRIMARY PREPRINT; PROOF NOT YET CAMPAIGN-AUDITED"
"alpha=2 case",2026-07-25,"Klostermeyer and MacGillivray, Eternally Secure Sets, Independence Sets, and Cliques, AKCE 2 (2005), 119-122","doi:10.1080/09728600.2005.12088800","one-guard terminology","If alpha=gamma-infinity=2 then theta=2.","Together with equality collapse, any counterexample has k>=3.","Obtain the original article and independently reprove this short case.","CITATION-CROSSCHECKED in 2016 survey; ORIGINAL NOT LOCALLY INSPECTED"
"parameterized alpha=gamma-infinity constructions",2026-07-25,"Klostermeyer and MacGillivray 2005, as restated in Protecting a Graph with Mobile Guards","doi:10.1080/09728600.2005.12088800; arXiv:1407.5228","one-guard","For all integers k>=a>=3 there is a connected graph G with alpha(G)=gamma-infinity(G)=a and theta(G)=k.","Provides infinite near-miss hosts with arbitrary clique-cover gap, but does not establish gamma=alpha.","Recover the explicit construction and compute gamma and well-coveredness before using it as a synthesis template.","VERIFIED RESTATEMENT IN PRIMARY 2016 SURVEY; 2005 CONSTRUCTION NOT YET EXTRACTED"
"Mycielski complement family",2026-07-25,"Goddard-Hedetniemi-Hedetniemi 2005 and MacGillivray-Mynhardt-Virgile 2022, Corollary 3.2","JCMCC 52 (2005), 169-180; arXiv:2110.09732v2","one-guard","For k>=4, the complement of the Mycielski graph M_k has alpha=2, gamma-infinity=3, and theta=k; hence gamma-infinity<theta.","Infinite claw-free examples but not counterexamples and not alpha=gamma-infinity.","Use only as a stress-test family, not a main gamma=alpha search host.","VERIFIED in 2022 primary source"
"triangle-free near-miss family",2026-07-25,"MacGillivray-Mynhardt-Virgile 2022, Fact 5.4 and Corollary 5.1","doi:10.5614/ejgta.2022.10.2.19","one-guard","If a triangle-free n-vertex G has gamma-infinity(G)<theta(G)=ceil(n/2), then the bow-tie product G with K2 is triangle-free and still has gamma-infinity<theta.","Produces an infinite triangle-free gap family from a suitable seed; it does not preserve alpha=gamma-infinity as stated.","Keep as related construction only; triangle-free graphs cannot be Gamma-Theta counterexamples by the 2015 theorem.","VERIFIED-PRIMARY"
"circulant gap family",2026-07-25,"MacGillivray-Mynhardt-Virgile 2022, Proposition 5.5 and Corollary 5.2","doi:10.5614/ejgta.2022.10.2.19","one-guard","The bow-tie operation maps specified circulants to circulants and yields infinitely many circulant graphs with gamma-infinity<theta.","Related gap family; no claim of gamma=alpha.","Audit only if one-guard equality targets make the family competitive.","VERIFIED-PRIMARY"
"well-covered bipartite characterization",2026-07-25,"G. Ravindra, Well Covered Graphs, J. Combin. Inform. System Sci. 2 (1977), 20-21, quoted as Theorem 4.1 by Klostermeyer-Mynhardt 2015","J. Combin. Inform. System Sci. 2 (1977), 20-21","static graph structure","A bipartite graph without isolated vertices is well-covered iff it has a perfect matching M such that G[N(x) union N(M(x))] is complete bipartite for every matched pair.","Constructive recognition for a narrow class; counterexamples are not bipartite because they must contain triangles.","Use for regression only; it is not a general order-12-to-16 generator.","VERIFIED QUOTATION IN PRIMARY 2015 SOURCE; ORIGINAL NOT LOCALLY INSPECTED"
"well-covered generation orders 12-16",2026-07-25,"Phase 0 compressed audit","campaign note","static graph structure","No general canonical generator or complete catalog for connected well-covered graphs of orders 12-16 with fixed alpha and gamma was verified in this checkpoint.","This is a genuine coverage gap; recognition theorems alone do not justify exhaustive generation.","Audit constructive generators and catalogs before claiming any well-covered search universe is complete.","OPEN FOLLOW-UP"
"variant ledger: m-eternal/all-guards",2026-07-25,"Klostermeyer-Mynhardt 2015 and 2016; Taletskii 2024 terminology sections","arXiv:1407.5235; arXiv:1407.5228; arXiv:2412.20120","gamma_m-infinity/all-guards","All guards may relocate after each attack; the parameter has a different inequality chain and different tree/Cayley results.","These results cannot be imported into the one-guard Gamma-Theta campaign.","Tag every theorem by model before use; recent Cayley work requires a separate model check.","VERIFIED VARIANT DISTINCTION"
"variant ledger: eviction and other models",2026-07-25,"Virgile 2024 dissertation and Klostermeyer-Mynhardt surveys","UVic dissertation bitstream; arXiv:1407.5228","eviction, total, connected, foolproof, distance and directed variants","These games alter legal attacks, required configurations, or movement rules.","Not evidence for the one-guard conjecture.","Exclude unless a lemma is reproved directly in the campaign model.","VERIFIED VARIANT DISTINCTION"
"current direct resolution search",2026-07-25,"arXiv, EJGTA, UVic repository, journal/search-index and citing-source scan through 2026-07-25","queries recorded by date in this row; latest direct sources arXiv:2412.20120v2 and Virgile 2024 dissertation","one-guard only","No universal proof, certified counterexample, or published/preprint direct resolution was located. The latest direct advance found is the planar-class theorem; the 2024 dissertation still states the universal problem as a conjecture.","Working literature status is unresolved, not a proof of nonexistence of a resolution.","Repeat a compressed search weekly and whenever new terminology/authors appear.","SEARCH-VERIFIED TO DATE; NEGATIVE SEARCH IS NOT A MATHEMATICAL CERTIFICATE"
"2026 planar and vertex-critical results",2026-07-25,"K. Kimura, N. Matsumoto, and T. Sato, Note on the Eternal Domination Number of Planar Graphs and Vertex-Critical Graphs, Discrete Math. Lett. 17 (2026), 45-50","doi:10.47443/dml.2025.208; https://www.dmlett.com/archive/v17/DML26_v17_pp45-50.pdf","one guard moves along one edge; the definition permits attacks at vertices without explicitly saying unoccupied, so exact convention equivalence should be treated cautiously","Theorem 1.1 gives a maximum-demand criterion for vertex-critical triangle-free graphs; Theorem 1.2 proves gamma-infinity=theta for plane graphs whose faces all have size at least 12; Proposition 3.1 constructs gamma-infinity<theta on every non-spherical surface.","Current published partial results, not a universal Gamma-Theta resolution and weaker for this campaign than Taletskii's all-planar implication.","Record exact statements; retain the face-size class as a maximum-demand class; do not infer the universal conjecture.","VERIFIED-PRIMARY; full open-access PDF archived"
"odd cycles in the one-guard model",2026-07-25,"W. Goddard, S. M. Hedetniemi, and S. T. Hedetniemi, Eternal Security in Graphs, JCMCC 52 (2005), 169-180","https://people.computing.clemson.edu/~goddard/papers/eternalSecurity.pdf","one-guard eternal 1-security sigma_1; occupied attacks permit a stationary guard and are equivalent to the unoccupied-attack convention","Theorem 3 (attributed there to Burger et al.) states sigma_1(C_n)=(n+1)/2 and sigma_1(complement C_n)=3 for odd n.","The known value gamma-infinity(C_7)=4 eliminates an induced complement-C_7 branch in a parameter-three counterexample complement by induced-subgraph monotonicity; the structural combination, not the cycle value, is the campaign contribution.","Cite the classical cycle theorem and retain the independent C_7 proof used in the structural lemma.","VERIFIED-PRIMARY; author-hosted PDF archived"
"novelty search: odd-wheel and odd-antihole k=3 restrictions",2026-07-25,"Targeted arXiv, DOI-index, author-page, MMV 2022, Virgile 2024 dissertation, and Taletskii 2024 searches","queries: eternal domination odd wheel; Gamma-Theta induced odd hole antihole; one-guard complement wheel","one-guard only","No prior theorem matching the campaign's induced-odd-wheel obstruction or the complement-C7 branch elimination was located. The classical cycle value itself is not new.","Supports only a provisional novelty assessment for the structural combination; a negative search is not proof of novelty.","Repeat with citation databases and the 2020 chapter; state novelty cautiously until an expert literature review becomes possible without violating the no-contact policy.","SEARCH-LIMITED; NO MATCH LOCATED"
"finite-order secure domination quantifiers",2026-07-25,"A. P. Burger, E. J. Cockayne, W. R. Grundlingh, C. M. Mynhardt, J. H. van Vuuren, and W. Winterbach, Finite Order Domination in Graphs, JCMCC 49 (2004), 159-175","https://www.vuuren.co.za/papers/finitedomination.pdf; local PDF sha256 e53407dc8342485872f06a71d3788d6c4e6851d5e5b57b6c074188575d4fa2a5","offline finite-horizon one-guard secure domination","Definition 9 requires that for every complete q-vertex problem sequence there exists a complete defender-move sequence keeping every intermediate state safe. The conclusion explicitly says the entire problem sequence was known in advance and proposes one-at-a-time revelation as future work.","This is related to but not equivalent to the campaign's online two-ply kernel: Burger et al. use forall attack-sequence exists defender-sequence, whereas the adaptive kernel uses alternating forall-attack exists-response quantifiers.","Cite the predecessor and quantifier distinction in the two-step note; do not import an offline finite-order theorem as an online eternal theorem.","VERIFIED-PRIMARY; PDF archived and definition/conclusion visually inspected"
"online versus offline attack models",2026-07-25,"W. F. Klostermeyer and C. M. Mynhardt, Protecting a Graph with Mobile Guards, AADM 10(1) (2016), 1-29","arXiv:1407.5228; local source km2016_src/ProtectionSurvey_KlostermeyerMynhardt_Mar5_2015.tex lines 305-337","model taxonomy; one-guard eternal section","The survey distinguishes offline, adaptive-online, and oblivious-online revelation. It says the adaptive-online problem is precisely eternal domination and that, for deterministic strategies in this setting, adaptive and oblivious online have the same parameter; a predefined offline sequence can require fewer guards.","Confirms that the campaign kernel must use alternating online quantifiers and that smart finite-order domination cannot be treated as identical merely because both use sequential moves.","Retain this model distinction in every finite-horizon attribution and verifier specification.","VERIFIED-PRIMARY; local arXiv source"
"infinite-order predecessor",2026-07-25,"A. P. Burger, E. J. Cockayne, W. R. Grundlingh, C. M. Mynhardt, J. H. van Vuuren, and W. Winterbach, Infinite Order Domination in Graphs, JCMCC 50 (2004), 179-194","https://combinatorialpress.com/jcmcc-articles/volume-050/infinite-order-domination-in-graphs/; local PDF sha256 63f9caf133e99cf88db194a858a9d3155a95ed7f43315bd043265d7c0523324a","historical infinite-order one-guard protection parameter","The paper takes limits of the earlier smart/foolproof finite-order parameters and proves the independence-number lower bound and clique-partition upper bound for its smart infinite-order parameter. Later one-guard surveys cite this paper as the first eternal-domination study.","Historical predecessor and source of the standard alpha-to-theta chain, but its limit-of-offline-finite-order presentation should be distinguished from the later explicit adaptive-online eternal-family definition.","Use later explicit online definitions for the campaign model; use this source only with its historical formulation stated accurately.","VERIFIED-PRIMARY; official scanned PDF archived and visually inspected"
"Strong Perfect Graph Theorem",2026-07-25,"M. Chudnovsky, N. Robertson, P. Seymour, and R. Thomas, The strong perfect graph theorem, Ann. of Math. 164 (2006), 51-229","doi:10.4007/annals.2006.164.51; https://annals.math.princeton.edu/2006/164-1/p02","static graph structure","A graph is perfect if and only if it has no induced odd hole and no induced odd antihole.","For a conjectured counterexample H=complement(G) has omega(H)=alpha(G)<theta(G)=chi(H), so H is imperfect and contains one of these induced obstructions.","Use only after the complement sign and omega/chi identities are stated; this theorem supplies existence of an obstruction, not any finite-order threshold by itself.","VERIFIED-PRIMARY; official Annals article page and DOI"
"half-order domination characterization",2026-07-25,"C. Payan and N. H. Xuong, Domination-balanced graphs, J. Graph Theory 6(1) (1982), 23-32; independently J. F. Fink, M. S. Jacobson, L. F. Kinch, and J. Roberts, On graphs having domination number half their order, Period. Math. Hungar. 16 (1985), 287-293","doi:10.1002/jgt.3190060104; doi:10.1007/BF01848079","static domination number","For an even-order graph without isolated vertices, gamma=n/2 exactly when every component is C4 or the corona F composed with K1 of a connected graph F.","Each listed component has theta=gamma by an elementary clique-pair partition and independent-leaf lower bound; hence a connected gamma-theta counterexample has gamma<n/2.","Retain the self-contained corollary proof in math/lemmas/half_order_exclusion.md; use the classical theorem only with its no-isolate and component hypotheses explicit.","BIBLIOGRAPHY VERIFIED BY PRIMARY DOIS; THEOREM STATEMENT CROSS-CHECKED IN MULTIPLE PUBLISHED SOURCES; ORIGINAL FULL TEXT NOT LOCALLY INSPECTED"
"2026 Cayley graph variant check",2026-07-26,"M. Carr, N. E. Clarke, G. MacGillivray, and J. Morris, Eternal Domination in Cayley Graphs","arXiv:2607.04024","all-guards-move, explicitly denoted gamma_all-infinity; one guard moves to the attacked vertex and every remaining guard may also move","The paper proves equality and gap results for vertex-transitive and generalized-dihedral Cayley graphs in the all-guards-move model.","It supplies no one-guard Gamma-Theta theorem, restriction, construction, or counterexample. Importing its equality results here would be a model error.","Retain only in the variant ledger; reconsider a Cayley family only after reproving every game statement from the one-guard definition.","VERIFIED-PRIMARY; current arXiv abstract and theorem text inspected"
"compressed direct-resolution refresh",2026-07-26,"Current arXiv and UVic dissertation search using gamma-theta, eternal domination odd wheel, clique covering, and recent Cayley terminology","arXiv:2412.20120v2; arXiv:2607.04024; UVic dissertation bitstream 00daa6ea-ea50-404b-8a18-d2259d315c01","one-guard sources separated from all-guards results","No universal proof or counterexample was located. The UVic dissertation still records no counterexample through order 11, Taletskii proves the planar class, and the 2026 Cayley paper is explicitly all-guards-move.","The working status remains unresolved; this negative search is not a mathematical certificate or a novelty proof for campaign lemmas.","Repeat the full refresh at the day-7 gate or sooner if a new citation or terminology appears.","SEARCH-VERIFIED THROUGH 2026-07-26; NO DIRECT RESOLUTION LOCATED"
"minimum-degree-two domination bound",2026-07-26,"W. McCuaig and B. Shepherd, Domination in graphs with minimum degree two, J. Graph Theory 13(6) (1989), 749-762; exception inventory restated in M. A. Henning, I. Schiermeyer, and A. Yeo, EJC 18(1) (2011), P12","doi:10.1002/jgt.3190130610; doi:10.37236/499; local EJC PDF sha256 418199b3a9f9c92974046a6c92b0b11b24cdec51e034f5aa23168c4bdfbb4285","static domination number","A connected graph of order n and minimum degree at least two has gamma at most 2n/5 unless it is one of seven exceptional graphs; the exceptions are C4 and six graphs of order seven.","After a one-guard leaf-support reduction proves that a minimum Gamma-Theta counterexample has minimum degree at least two, this classical theorem gives n at least ceiling(5k/2), using the published no-counterexample-through-11 result to bypass the small exceptions.","Retain exact exception and connectedness hypotheses; adversarially review the new one-guard reduction before promoting the corollary.","ORIGINAL JOURNAL ABSTRACT VERIFIED; EXACT EXCEPTION INVENTORY VERIFIED IN OFFICIAL OPEN-ACCESS PRIMARY EJC PAPER"
"novelty search: one-guard leaf-support deletion",2026-07-26,"Targeted arXiv, journal-index, MMV 2022, Klostermeyer-Mynhardt 2015 and 2016 source, and current dissertation searches","queries: eternal domination leaf support vertex one guard; eternal domination pendant vertex deletion; gamma-infinity pendant; local full-text leaf/stem searches","one-guard results distinguished from m-eternal, total, and tree-specific variants","No prior statement was located saying that, under gamma=gamma-infinity, deleting a leaf and its support lowers gamma, gamma-infinity, alpha, and theta all by exactly one or preserves a strict Gamma-Theta gap. The literature contains many leaf arguments for trees and other eternal variants, but no matching general reduction was found.","Supports only a provisional novelty assessment for math/lemmas/leaf_support_reduction.md; a negative search is not proof of novelty.","Repeat against citation databases and relevant dissertations before manuscript submission; do not claim priority until the independent proof and source audits pass.","SEARCH-LIMITED; NO MATCH LOCATED; NOVELTY NOT YET CLAIMED"
"novelty search: simplicial closed-neighborhood reduction",2026-07-26,"Klostermeyer-Mynhardt 2015; MMV 2022; Klostermeyer-MacGillivray 2017; Dettlaff-Henning-Topp 2023; Gyarfas-Sebo-Trotignon 2012; Kimura-Matsumoto-Sato 2026; Virgile 2024 dissertation; current arXiv searches","doi:10.7151/dmgt.1799; doi:10.5614/ejgta.2022.10.2.19; doi:10.7151/dmgt.1918; doi:10.1007/s40840-022-01456-0; doi:10.1016/j.jctb.2012.06.001; doi:10.47443/dml.2025.208","one-guard sources separated from all-guards G-N[v] inductions","No exact prior theorem was located saying that, when gamma=gamma-infinity and v is simplicial, deleting N[v] lowers gamma, alpha, gamma-infinity, and theta exactly by one and projects every eternal family. Known overlaps cover the static alpha drop, chromatic-gap critical graphs, or eternal criticality under single-vertex deletion; superficially similar mobile-guard inductions use the all-guards model.","The accepted reduction implies that a minimum Gamma-Theta counterexample has no simplicial vertex, but novelty and priority remain unresolved.","Obtain and inspect Klostermeyer-Krop-MacGillivray, On graphs with domination number equal to eternal domination number, manuscript (2018), before any novelty claim; retain the exact model caveat.","HOSTILE LITERATURE AUDIT COMPLETE; NO EXACT MATCH LOCATED; NOVELTY UNRESOLVED BECAUSE DIRECTLY RELEVANT 2018 MANUSCRIPT IS UNAVAILABLE"
"independent-antineighborhood projection and prior-art overlap",2026-07-26,"D. Taletskii, The Gamma-Theta Conjecture holds for planar graphs, Lemma 13; B. Randerath and P. D. Vestergaard, Well-covered graphs and factors, Observation 2; targeted current one-guard searches","arXiv:2412.20120v2; doi:10.1016/j.dam.2005.05.041; reviews/general_neighborhood_projection_independent/REVIEW.md","one-guard in Taletskii; static well-coveredness in Randerath-Vestergaard","Taletskii Lemma 13 already states that for every nonempty independent I in a minimum-order planar counterexample, G_I=G-N[I] satisfies gamma(G_I)=theta(G_I)=gamma(G)-|I|; its proof also derives gamma-infinity(G_I)=gamma(G)-|I|. Randerath-Vestergaard records the classical well-coveredness and alpha-drop statement for G-N[I]. The campaign theorem proves the gamma, alpha, gamma-infinity, and well-covered conclusions for every graph with gamma=gamma-infinity, and explicitly projects a restricted slice of every eternal family; minimum-counterexample minimality then supplies theta without planarity.","This is an unrestricted and family-level generalization of accessible prior work, not a wholly new antineighborhood idea. For k=3 its complement consequence is equivalent to the accepted odd-wheel/local-bipartiteness restriction plus well-coveredness and gives no new pruning.","Cite Taletskii Lemma 13 and the classical static observation in any manuscript; describe the full independent-set form as the convenient iteration of the arbitrary-vertex case; inspect the unavailable Klostermeyer-Krop-MacGillivray 2018 manuscript before any novelty or priority claim.","VERIFIED-PRIMARY OVERLAP; CAMPAIGN GENERALIZATION PROVED AND EXHAUSTIVELY PROBED THROUGH ORDER 8; NOVELTY UNRESOLVED"
"novelty search: near-spanning odd-hole exclusion at parameter three",2026-07-26,"Targeted current arXiv, EJGTA, DMGT, author-page, and full-text searches; MacGillivray-Mynhardt-Virgile 2022 and Klostermeyer-Mynhardt 2015 checked directly","arXiv:2110.09732; doi:10.5614/ejgta.2022.10.2.19; arXiv:1407.5235; doi:10.7151/dmgt.1799","one-guard only; all-guards Cayley results excluded","No prior statement was located excluding a hub-free induced odd hole with exactly two outside vertices from a graph satisfying gamma=gamma-infinity=alpha=3, nor the accepted all-odd-length attack theorem for every odd length at least five. The primary papers checked do not use odd-hole, wheel, or C11 terminology for such a theorem.","Supports only a provisional novelty assessment for the newly proved near-spanning-hole result; a negative search is not proof of priority. The two infinite canonical near-miss families or their finite members may occur in unsearched catalogs.","Extend the structure-based search to the 2020 survey chapter and relevant dissertations before manuscript submission; make no novelty or priority claim.","SEARCH-LIMITED; THEOREM INDEPENDENTLY ACCEPTED; NO MATCH LOCATED; NOVELTY NOT YET CLAIMED"
