extension_h_mask,extension_h_neighbors,labeled_graph6,canonical_graph6,gamma,alpha,gamma_infinity,theta,unrestricted_optimal_kernel_states,family_witness_count,augmentation_sensitive_witness_count,family_witnesses
10,"[1,3]",IFzvvn{jw,Ij]|tnnvo,2,3,3,3,118,3,3,"[{""new_list"":[0],""family_states"":87,""deletion_rounds"":[17,4,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[2],""family_states"":89,""deletion_rounds"":[16,2,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,2],""family_states"":99,""deletion_rounds"":[8,1,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
11,"[0,1,3]",IFzvvn{Jw,IFNN^^}~O,2,3,3,3,110,0,0,[]
12,"[2,3]",IFzvvn{rw,Ij]|tnnvo,2,3,3,3,118,3,3,"[{""new_list"":[0],""family_states"":87,""deletion_rounds"":[17,4,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[1],""family_states"":84,""deletion_rounds"":[19,5,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,1],""family_states"":91,""deletion_rounds"":[14,4,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
13,"[0,2,3]",IFzvvn{Rw,IFNN^^}~O,2,3,3,3,110,0,0,[]
14,"[1,2,3]",IFzvvn{bw,IFNN^^}~O,2,3,3,3,110,0,0,[]
15,"[0,1,2,3]",IFzvvn{Bw,IiR~tyzNw,2,4,4,4,209,0,0,[]
16,[4],IFzvvn{|w,Ivzax|~^w,2,3,3,3,116,4,4,"[{""new_list"":[0,1],""family_states"":86,""deletion_rounds"":[14,4,6],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[2],""family_states"":90,""deletion_rounds"":[12,2,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,2],""family_states"":96,""deletion_rounds"":[8,1,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[1,2],""family_states"":91,""deletion_rounds"":[12,2,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
17,"[0,4]",IFzvvn{\w,I}mrY{~^w,2,3,3,3,115,2,2,"[{""new_list"":[2],""family_states"":83,""deletion_rounds"":[16,5,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[1,2],""family_states"":91,""deletion_rounds"":[12,2,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
18,"[1,4]",IFzvvn{lw,I}mrY{~^w,2,3,3,3,115,2,2,"[{""new_list"":[2],""family_states"":83,""deletion_rounds"":[16,5,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,2],""family_states"":96,""deletion_rounds"":[8,1,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
19,"[0,1,4]",IFzvvn{Lw,Io~sztv^w,2,3,3,3,104,1,1,"[{""new_list"":[2],""family_states"":83,""deletion_rounds"":[16,5,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
20,"[2,4]",IFzvvn{tw,I}mrY{~^w,2,3,3,3,115,1,1,"[{""new_list"":[0,1],""family_states"":86,""deletion_rounds"":[14,4,6],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
21,"[0,2,4]",IFzvvn{Tw,Io~sztv^w,2,3,3,3,104,0,0,[]
22,"[1,2,4]",IFzvvn{dw,Io~sztv^w,2,3,3,3,104,0,0,[]
23,"[0,1,2,4]",IFzvvn{Dw,IIR~tyznw,2,4,4,4,208,0,0,[]
24,"[3,4]",IFzvvn{xw,Ivzbzx^Nw,2,3,3,3,116,4,4,"[{""new_list"":[0,1],""family_states"":86,""deletion_rounds"":[14,4,6],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[2],""family_states"":90,""deletion_rounds"":[12,2,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,2],""family_states"":96,""deletion_rounds"":[8,1,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[1,2],""family_states"":91,""deletion_rounds"":[12,2,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
25,"[0,3,4]",IFzvvn{Xw,Ify|rlnVw,2,3,3,3,114,2,2,"[{""new_list"":[2],""family_states"":81,""deletion_rounds"":[16,5,5,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[1,2],""family_states"":89,""deletion_rounds"":[12,2,5,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
26,"[1,3,4]",IFzvvn{hw,Ify|rlnVw,2,3,3,3,114,2,2,"[{""new_list"":[2],""family_states"":81,""deletion_rounds"":[16,5,5,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,2],""family_states"":94,""deletion_rounds"":[8,1,5,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
27,"[0,1,3,4]",IFzvvn{Hw,IIM|}^|}o,2,3,3,3,101,0,0,[]
28,"[2,3,4]",IFzvvn{pw,Ify|rlnVw,2,3,3,3,114,1,1,"[{""new_list"":[0,1],""family_states"":84,""deletion_rounds"":[14,4,6,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
29,"[0,2,3,4]",IFzvvn{Pw,IIM|}^|}o,2,3,3,3,101,0,0,[]
30,"[1,2,3,4]",IFzvvn{`w,IIM|}^|}o,2,3,3,3,101,0,0,[]
31,"[0,1,2,3,4]",IFzvvn{@w,IIR~tyzNw,2,4,4,4,204,0,0,[]
32,[5],IFzvvn{}w,IRr~vq~^w,2,3,3,3,118,4,4,"[{""new_list"":[0,1],""family_states"":83,""deletion_rounds"":[14,3,12],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[2],""family_states"":93,""deletion_rounds"":[12,2,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,2],""family_states"":99,""deletion_rounds"":[8,1,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[1,2],""family_states"":94,""deletion_rounds"":[12,2,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
33,"[0,5]",IFzvvn{]w,IrW|~z]vw,2,3,3,3,117,2,2,"[{""new_list"":[2],""family_states"":89,""deletion_rounds"":[16,3,3],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[1,2],""family_states"":94,""deletion_rounds"":[12,2,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
34,"[1,5]",IFzvvn{mw,IrW|~z]vw,2,3,3,3,117,2,2,"[{""new_list"":[2],""family_states"":89,""deletion_rounds"":[16,3,3],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,2],""family_states"":99,""deletion_rounds"":[8,1,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
35,"[0,1,5]",IFzvvn{Mw,IEw~^zu|w,2,3,3,3,108,1,1,"[{""new_list"":[2],""family_states"":89,""deletion_rounds"":[16,3,3],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
36,"[2,5]",IFzvvn{uw,IrW|~z]vw,2,3,3,3,117,1,1,"[{""new_list"":[0,1],""family_states"":83,""deletion_rounds"":[14,3,12],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
37,"[0,2,5]",IFzvvn{Uw,IEw~^zu|w,2,3,3,3,108,0,0,[]
38,"[1,2,5]",IFzvvn{ew,IEw~^zu|w,2,3,3,3,108,0,0,[]
39,"[0,1,2,5]",IFzvvn{Ew,I?^vnzy}w,2,4,4,4,209,0,0,[]
40,"[3,5]",IFzvvn{yw,IRlv~z{rw,2,3,3,3,118,4,4,"[{""new_list"":[0,1],""family_states"":83,""deletion_rounds"":[14,3,12],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[2],""family_states"":93,""deletion_rounds"":[12,2,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,2],""family_states"":99,""deletion_rounds"":[8,1,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[1,2],""family_states"":94,""deletion_rounds"":[12,2,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
41,"[0,3,5]",IFzvvn{Yw,ILZ]v]~~_,2,3,3,3,116,2,2,"[{""new_list"":[2],""family_states"":88,""deletion_rounds"":[16,3,3],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[1,2],""family_states"":93,""deletion_rounds"":[12,2,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
42,"[1,3,5]",IFzvvn{iw,ILZ]v]~~_,2,3,3,3,116,2,2,"[{""new_list"":[2],""family_states"":88,""deletion_rounds"":[16,3,3],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,2],""family_states"":98,""deletion_rounds"":[8,1,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
43,"[0,1,3,5]",IFzvvn{Iw,IiNNny}Nw,2,3,3,3,105,0,0,[]
44,"[2,3,5]",IFzvvn{qw,ILZ]v]~~_,2,3,3,3,116,1,1,"[{""new_list"":[0,1],""family_states"":82,""deletion_rounds"":[14,3,12],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
45,"[0,2,3,5]",IFzvvn{Qw,IiNNny}Nw,2,3,3,3,105,0,0,[]
46,"[1,2,3,5]",IFzvvn{aw,IiNNny}Nw,2,3,3,3,105,0,0,[]
47,"[0,1,2,3,5]",IFzvvn{Aw,IiO~vy}Nw,2,4,4,4,205,0,0,[]
48,"[4,5]",IFzvvn{{w,I]r|rs~^w,2,3,3,3,115,3,3,"[{""new_list"":[2],""family_states"":90,""deletion_rounds"":[12,2,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,2],""family_states"":96,""deletion_rounds"":[8,1,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[1,2],""family_states"":91,""deletion_rounds"":[12,2,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
49,"[0,4,5]",IFzvvn{[w,Iamv^x}^w,2,3,3,3,113,2,2,"[{""new_list"":[2],""family_states"":83,""deletion_rounds"":[15,6,3],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[1,2],""family_states"":91,""deletion_rounds"":[11,2,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
50,"[1,4,5]",IFzvvn{kw,Iamv^x}^w,2,3,3,3,113,2,2,"[{""new_list"":[2],""family_states"":83,""deletion_rounds"":[15,6,3],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,2],""family_states"":96,""deletion_rounds"":[7,1,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
51,"[0,1,4,5]",IFzvvn{Kw,IINNny}nw,2,3,3,3,99,1,1,"[{""new_list"":[2],""family_states"":83,""deletion_rounds"":[14,6,3],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
52,"[2,4,5]",IFzvvn{sw,Iamv^x}^w,2,3,3,3,113,0,0,[]
53,"[0,2,4,5]",IFzvvn{Sw,IINNny}nw,2,3,3,3,99,0,0,[]
54,"[1,2,4,5]",IFzvvn{cw,IINNny}nw,2,3,3,3,99,0,0,[]
55,"[0,1,2,4,5]",IFzvvn{Cw,IIO~vy}nw,2,4,4,4,204,0,0,[]
56,"[3,4,5]",IFzvvn{ww,ID~vf\^^g,2,3,3,3,109,0,0,[]
57,"[0,3,4,5]",IFzvvn{Ww,IBM~^Z^}o,2,3,3,3,106,0,0,[]
58,"[1,3,4,5]",IFzvvn{gw,IBM~^Z^}o,2,3,3,3,106,0,0,[]
59,"[0,1,3,4,5]",IFzvvn{Gw,IINN~g~nW,2,3,3,3,91,0,0,[]
60,"[2,3,4,5]",IFzvvn{ow,IBM~^Z^}o,2,3,3,3,106,0,0,[]
61,"[0,2,3,4,5]",IFzvvn{Ow,IINN~g~nW,2,3,3,3,91,0,0,[]
62,"[1,2,3,4,5]",IFzvvn{_w,IINN~g~nW,2,3,3,3,91,0,0,[]
63,"[0,1,2,3,4,5]",IFzvvn{?w,IIO~~q|Nw,2,4,4,4,194,0,0,[]
64,[6],IFzvvn{~W,IdZ~vq~^w,2,3,3,3,118,4,4,"[{""new_list"":[0,1],""family_states"":86,""deletion_rounds"":[14,4,7,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[2],""family_states"":92,""deletion_rounds"":[12,2,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,2],""family_states"":98,""deletion_rounds"":[8,1,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[1,2],""family_states"":93,""deletion_rounds"":[12,2,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
65,"[0,6]",IFzvvn{^W,Izmpy~Nvw,2,3,3,3,117,2,2,"[{""new_list"":[2],""family_states"":87,""deletion_rounds"":[16,3,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[1,2],""family_states"":93,""deletion_rounds"":[12,2,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
66,"[1,6]",IFzvvn{nW,Izmpy~Nvw,2,3,3,3,117,2,2,"[{""new_list"":[2],""family_states"":87,""deletion_rounds"":[16,3,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,2],""family_states"":98,""deletion_rounds"":[8,1,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
67,"[0,1,6]",IFzvvn{NW,IW{}~jV|w,2,3,3,3,108,1,1,"[{""new_list"":[2],""family_states"":87,""deletion_rounds"":[16,3,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
68,"[2,6]",IFzvvn{vW,Izmpy~Nvw,2,3,3,3,117,1,1,"[{""new_list"":[0,1],""family_states"":86,""deletion_rounds"":[14,4,7,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
69,"[0,2,6]",IFzvvn{VW,IW{}~jV|w,2,3,3,3,108,0,0,[]
70,"[1,2,6]",IFzvvn{fW,IW{}~jV|w,2,3,3,3,108,0,0,[]
71,"[0,1,2,6]",IFzvvn{FW,I?^~nfx}w,2,4,4,4,209,0,0,[]
72,"[3,6]",IFzvvn{zW,Idlr^~}~_,2,3,3,3,118,4,4,"[{""new_list"":[0,1],""family_states"":86,""deletion_rounds"":[14,4,7,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[2],""family_states"":92,""deletion_rounds"":[12,2,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,2],""family_states"":98,""deletion_rounds"":[8,1,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[1,2],""family_states"":93,""deletion_rounds"":[12,2,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
73,"[0,3,6]",IFzvvn{ZW,INZL|z^zo,2,3,3,3,116,2,2,"[{""new_list"":[2],""family_states"":85,""deletion_rounds"":[16,3,5,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[1,2],""family_states"":91,""deletion_rounds"":[12,2,5,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
74,"[1,3,6]",IFzvvn{jW,INZL|z^zo,2,3,3,3,116,2,2,"[{""new_list"":[2],""family_states"":85,""deletion_rounds"":[16,3,5,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,2],""family_states"":96,""deletion_rounds"":[8,1,5,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
75,"[0,1,3,6]",IFzvvn{JW,Ii^Nlm|Nw,2,3,3,3,105,0,0,[]
76,"[2,3,6]",IFzvvn{rW,INZL|z^zo,2,3,3,3,116,1,1,"[{""new_list"":[0,1],""family_states"":84,""deletion_rounds"":[14,4,7,2],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
77,"[0,2,3,6]",IFzvvn{RW,Ii^Nlm|Nw,2,3,3,3,105,0,0,[]
78,"[1,2,3,6]",IFzvvn{bW,Ii^Nlm|Nw,2,3,3,3,105,0,0,[]
79,"[0,1,2,3,6]",IFzvvn{BW,IiP~tu|Nw,2,4,4,4,205,0,0,[]
80,"[4,6]",IFzvvn{|W,I}qzp{~^w,2,3,3,3,115,2,2,"[{""new_list"":[0,1],""family_states"":86,""deletion_rounds"":[14,4,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,2],""family_states"":95,""deletion_rounds"":[8,1,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
81,"[0,4,6]",IFzvvn{\W,Iwn]p|v^w,2,3,3,3,113,0,0,[]
82,"[1,4,6]",IFzvvn{lW,Iwn]p|v^w,2,3,3,3,113,1,1,"[{""new_list"":[0,2],""family_states"":95,""deletion_rounds"":[7,1,5],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
83,"[0,1,4,6]",IFzvvn{LW,II^Nlm|nw,2,3,3,3,99,0,0,[]
84,"[2,4,6]",IFzvvn{tW,Iwn]p|v^w,2,3,3,3,113,1,1,"[{""new_list"":[0,1],""family_states"":86,""deletion_rounds"":[14,4,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
85,"[0,2,4,6]",IFzvvn{TW,II^Nlm|nw,2,3,3,3,99,0,0,[]
86,"[1,2,4,6]",IFzvvn{dW,II^Nlm|nw,2,3,3,3,99,0,0,[]
87,"[0,1,2,4,6]",IFzvvn{DW,IIP~tu|nw,2,4,4,4,204,0,0,[]
88,"[3,4,6]",IFzvvn{xW,Ifzdzw~Vw,2,3,3,3,114,2,2,"[{""new_list"":[0,1],""family_states"":86,""deletion_rounds"":[14,4,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,2],""family_states"":95,""deletion_rounds"":[8,1,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
89,"[0,3,4,6]",IFzvvn{XW,IJMl}~]zW,2,3,3,3,110,0,0,[]
90,"[1,3,4,6]",IFzvvn{hW,IJMl}~]zW,2,3,3,3,110,1,1,"[{""new_list"":[0,2],""family_states"":93,""deletion_rounds"":[7,1,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
91,"[0,1,3,4,6]",IFzvvn{HW,II^Nlk~nW,2,3,3,3,93,0,0,[]
92,"[2,3,4,6]",IFzvvn{pW,IJMl}~]zW,2,3,3,3,110,1,1,"[{""new_list"":[0,1],""family_states"":84,""deletion_rounds"":[14,4,3],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
93,"[0,2,3,4,6]",IFzvvn{PW,II^Nlk~nW,2,3,3,3,93,0,0,[]
94,"[1,2,3,4,6]",IFzvvn{`W,II^Nlk~nW,2,3,3,3,93,0,0,[]
