timestamp	cwd	command	exit_status	runtime_seconds	classification	outcome
2026-08-22T22:24:00-07:00	working_packet/repository	numerical-provenance audit on supplied and regenerated data	0/0	0.37/0.37	numerical provenance	maximum refinements 1.6247e-8 and 1.4095e-8 below 2e-8
2026-08-22T22:25:00-07:00	working_packet/repository	public PDF audit with base Python	1	0.04	PDF audit	pypdf missing; not checked in base environment
2026-08-22T22:26:00-07:00	working_packet/repository	public PDF audit with temporary pypdf 6.10.0	0	1.03	PDF audit	supplied PDFs passed page/font/semantic audit
2026-08-22T22:27:00-07:00	working_packet/repository	exact JSON table sign and representative exporter regenerations	0	3.95	exact regeneration	all named exact artifacts byte-identical
2026-08-22T22:28:00-07:00	working_packet/repository	python computation/simulations.py --jobs 3	0	8.15	full numerical campaign	all 15 non-quick configurations passed within declared tolerance; outputs not byte-identical
2026-08-22T22:29:00-07:00	working_packet/repository	three Matplotlib figure generators	0	4.29	figure regeneration	all completed; semantic text matched, metadata/numerical raster differences recorded
2026-08-22T22:30:00-07:00	working_packet	independent topology and cubic source mutations	1/1	<1 each	adversarial mutation	both mathematically material changes rejected
2026-08-22T22:31:00-07:00	working_packet	forced child exit 7 through RUN_ALL_VERIFIERS.py	1	0.36	failure propagation	runner stopped and propagated failure
2026-08-22T22:32:00-07:00	working_packet/repository	PYTHONOPTIMIZE=1 direct entrypoint controls	0	0.98	adversarial software test	three assertion-only scripts printed false PASS; orchestrated runner separately rejected optimized mode
2026-08-22T22:33:00-07:00	disposable manifest copy	mutate README check old manifest rewrite manifest and recheck	expected fail then 0	0.4	manifest semantics	old manifest rejected mutation; replay-style rewrite self-certified changed tree
2026-08-22T22:34:00-07:00	agent_core_math	python independent_core_checks.py	0	69.38	independent core audit	exact reconstruction and 39380 extra falsification blocks passed; outside-domain controls behaved as predicted
2026-08-22T22:36:00-07:00	agent_nonlinear_pde	python independent_nonlinear_checks.py	0	90.81	independent nonlinear audit	generic cubic bridge kernels gauges endpoints and m=149 checks passed
2026-08-22T22:40:00-07:00	working_packet	RUN_COMPLETE_AUDIT.sh with disposable TinyTeX 2026.08/pypdf 6.10.0	1	about 119	full wrapper modern toolchain	all repository stages reached final audit; failed page count and two extraction/layout probes
2026-08-22T22:44:00-07:00	working_packet	RUN_COMPLETE_AUDIT.sh with full TinyTeX 2022.08/Biber 2.18/pypdf 6.10.0	1	about 114	full wrapper historical toolchain	all repository stages and documents completed; sole failure Latin-u PDF probe; no wrapper completion marker
2026-08-22T22:48:00-07:00	working_packet	RUN_COMPLETE_AUDIT.sh with full TinyTeX 2022.04/Biber 2.17/pypdf 6.10.0	1	about 135	full wrapper recorded generation	all repository stages and documents completed; sole failure Latin-u PDF probe; no wrapper completion marker
2026-08-22T22:51:00-07:00	disposable 2022.04 wrapper work root	pypdf extraction diagnostic and whitespace-normalized Latin-u regex	0	0.6	failure diagnosis	extracted withu the Latin letter; normalized regex matched
2026-08-22T22:52:00-07:00	disposable 2022.04 wrapper work root	patch only Latin-u phrase probe and rerun public PDF audit	0	1.13	local repair	PDF_SEMANTIC_AUDIT_PASS; submitted audit_pdfs.py remained unchanged in both packet copies
2026-08-22T22:58:00-07:00	source_snapshot	shasum -a 256 -c SHA256SUMS.txt	0	<1	post-audit preservation	263/263 pristine outer-manifest entries still matched after the campaign
